mode,load,0_efficientnet_b6-16,1_mobilenet_v2-2,2_vgg16-8
mps-uncap,0.8,8.2855224609375,1.2187957763671875,4.306554794311523
mps-uncap,0.9,34.62862968444824,5.064249038696289,9.427309036254883
mps-uncap,1.0,168.90406608581543,26.9012451171875,47.06096649169922
mps-uncap,0.5,0.058650970458984375,0.045299530029296875,0.04792213439941406
mps-uncap,0.6,0.058650970458984375,0.04601478576660156,0.04839897155761719
mps-uncap,0.7,0.06115436553955078,0.04506111145019531,0.9828805923461914
mps-uncap,0.1,0.05888938903808594,0.0553131103515625,0.05888938903808594
mps-uncap,0.2,0.06186962127685547,0.05245208740234375,0.04863739013671875
mps-uncap,0.3,0.06198883056640625,0.04887580871582031,0.04696846008300781
mps-uncap,0.4,0.06365776062011719,0.050067901611328125,0.04696846008300781
