mode,load,0_efficientnet_b6-16,1_mobilenet_v2-2,2_vgg16-8
mps-uncap,0.8,137.8759860992433,44.430685043334975,51.6584300994874
mps-uncap,0.9,304.0747642517093,105.89786529541026,77.4800491333008
mps-uncap,1.0,763.0645275115963,216.99483394622806,316.0440444946289
mps-uncap,0.5,41.06523275375343,13.964262008666996,15.02536058425905
mps-uncap,0.6,81.84483528137217,15.236616134643555,17.159891128540036
mps-uncap,0.7,112.15528726577752,19.178204536437956,30.998747348785393
mps-uncap,0.1,18.70573997497555,5.0555944442749094,4.197607040405274
mps-uncap,0.2,21.30138874053952,6.479759216308587,6.353306770324708
mps-uncap,0.3,27.478051185607907,10.69998979568481,8.997554779052747
mps-uncap,0.4,48.7006020545959,10.31432867050171,12.194356918334964
