mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,13.877153396606445,8.917570114135742,4.311561584472656
mps-uncap,0.9,15.048027038574219,10.267257690429688,4.679441452026367
mps-uncap,1.0,16.93558692932129,11.39211654663086,4.724264144897461
mps-uncap,0.5,12.958645820617676,8.921146392822266,4.637002944946289
mps-uncap,0.6,12.802720069885254,8.48543643951416,4.586696624755859
mps-uncap,0.7,13.398528099060059,8.38160514831543,4.029750823974609
mps-uncap,0.1,21.14081382751465,12.244701385498047,6.916999816894531
mps-uncap,0.2,16.179323196411133,12.199878692626953,6.68025016784668
mps-uncap,0.3,15.044212341308594,11.367321014404297,6.438612937927246
mps-uncap,0.4,13.956069946289062,9.850025177001953,5.186796188354492
