mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,118.23153495788574,95.81184387207031,74.20229911804199
mps-uncap,0.9,182.49034881591797,205.80506324768066,188.38071823120117
mps-uncap,1.0,520.7655429840088,606.0872077941895,248.03423881530762
mps-uncap,0.5,44.632673263549805,41.33415222167969,26.71957015991211
mps-uncap,0.6,57.96623229980469,40.24076461791992,41.927337646484375
mps-uncap,0.7,111.70315742492676,54.54206466674805,34.11602973937988
mps-uncap,0.1,38.847923278808594,14.252424240112305,12.10165023803711
mps-uncap,0.2,32.4556827545166,22.021770477294922,19.846200942993164
mps-uncap,0.3,40.69828987121582,32.6082706451416,26.50618553161621
mps-uncap,0.4,42.11735725402832,35.39538383483887,27.992963790893555
