mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,15.83714485168457,11.855220794677734,5.718374252319337
mps-uncap,0.9,16.022324562072754,12.038969993591309,5.922508239746094
mps-uncap,1.0,17.62857437133789,12.300634384155273,5.800008773803711
mps-uncap,0.5,16.034245491027832,11.407804489135742,6.360340118408203
mps-uncap,0.6,15.459775924682617,11.343097686767578,5.785584449768066
mps-uncap,0.7,16.481828689575195,11.427640914916992,5.3241729736328125
mps-uncap,0.1,23.179078102111816,13.380908966064453,7.466554641723633
mps-uncap,0.2,22.115230560302734,13.729310035705566,7.216691970825195
mps-uncap,0.3,20.590066909790043,12.750816345214844,7.0455312728881845
mps-uncap,0.4,16.461682319641113,12.916493415832521,6.802463531494141
