mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,89.22204971313481,64.60000038146973,44.66284751892089
mps-uncap,0.9,150.20451545715318,127.70573854446413,101.37005805969225
mps-uncap,1.0,445.9417915344235,545.1360774040222,231.01390600204465
mps-uncap,0.5,42.45240926742553,31.10937118530275,20.436372756958015
mps-uncap,0.6,51.60382986068727,33.80855560302727,19.58141803741454
mps-uncap,0.7,64.46372509002673,40.35830497741701,24.038839340209957
mps-uncap,0.1,42.15614557266236,22.689895629882812,13.801193237304703
mps-uncap,0.2,40.01643180847164,27.040894031524658,17.924365997314464
mps-uncap,0.3,42.17030525207518,28.796329498290973,20.43947458267212
mps-uncap,0.4,39.866127967834444,30.608296394348148,20.458402633666996
