mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,9.021282196044922,4.913091659545898,2.8243064880371094
mps-uncap,0.9,9.030818939208984,4.862546920776367,2.8231143951416016
mps-uncap,1.0,9.257078170776367,4.8274993896484375,2.803325653076172
mps-uncap,0.5,9.092330932617188,4.815816879272461,2.7937889099121094
mps-uncap,0.6,9.100675582885742,4.949092864990234,2.815723419189453
mps-uncap,0.7,9.102106094360352,4.881620407104492,2.8123855590820312
mps-uncap,0.1,9.099721908569336,5.188226699829102,2.8018951416015625
mps-uncap,0.2,9.104251861572266,5.0106048583984375,2.8014183044433594
mps-uncap,0.3,9.075403213500977,4.848957061767578,2.796173095703125
mps-uncap,0.4,9.023904800415039,4.959821701049805,2.796649932861328
