mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,74.6257257461549,54.79901313781734,39.72726821899414
mps-uncap,0.9,133.81254673004148,116.35981082916261,95.99463462829532
mps-uncap,1.0,428.9055919647216,533.1031107902527,226.0800004005432
mps-uncap,0.5,28.506214618682854,22.02172279357912,16.473078727722168
mps-uncap,0.6,36.99862957000735,24.475095272064188,14.769182205200186
mps-uncap,0.7,50.043735504150355,31.269793510437058,19.49478149414062
mps-uncap,0.1,21.84496641159058,11.485419273376467,7.09910392761231
mps-uncap,0.2,20.840492248535057,16.16812229156492,11.291627883911149
mps-uncap,0.3,28.75898361206047,19.502811431884762,14.667177200317383
mps-uncap,0.4,27.131891250610213,20.946815013885505,15.322399139404297
