mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,9.054183959960938,4.978656768798828,2.842426300048828
mps-uncap,0.9,9.084463119506836,4.912853240966797,2.8388500213623047
mps-uncap,1.0,9.457588195800781,4.87971305847168,2.8183460235595703
mps-uncap,0.5,9.117364883422852,4.908323287963867,2.805948257446289
mps-uncap,0.6,9.122133255004883,5.00798225402832,2.8409957885742188
mps-uncap,0.7,9.124517440795898,4.924297332763672,2.828836441040039
mps-uncap,0.1,9.120464324951172,5.206584930419922,2.821207046508789
mps-uncap,0.2,9.156227111816406,5.1898956298828125,2.8138160705566406
mps-uncap,0.3,9.194612503051758,4.977941513061523,2.8176307678222656
mps-uncap,0.4,9.045124053955078,4.994392395019531,2.8183460235595703
