mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,16.433486938476566,12.566490173339842,6.630048751831055
mps-uncap,0.9,16.472995281219482,12.642066478729248,6.681289672851561
mps-uncap,1.0,18.146343231201172,12.826046943664553,6.364727020263672
mps-uncap,0.5,17.185325622558594,12.33527183532715,7.109236717224121
mps-uncap,0.6,16.663253307342533,12.514262199401848,6.9673538208007795
mps-uncap,0.7,17.557291984558105,12.392091751098635,6.245193481445312
mps-uncap,0.1,24.220149517059326,13.94683837890625,8.837032318115273
mps-uncap,0.2,23.889846801757812,14.667537212371824,7.691087722778322
mps-uncap,0.3,22.849063873291012,13.608083724975582,7.588350772857666
mps-uncap,0.4,22.17957019805908,13.87117624282837,7.315225601196291
