mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,17.435789108276367,13.011455535888672,7.176637649536133
mps-uncap,0.9,18.1276798248291,13.329029083251953,8.600711822509766
mps-uncap,1.0,19.35124397277832,14.901399612426758,7.288217544555664
mps-uncap,0.5,24.199485778808594,16.870975494384766,7.670879364013672
mps-uncap,0.6,17.693758010864258,17.2882080078125,7.925510406494141
mps-uncap,0.7,18.018722534179688,15.383481979370117,7.221698760986328
mps-uncap,0.1,25.108814239501953,14.625787734985352,11.755943298339844
mps-uncap,0.2,29.424667358398438,21.9573974609375,9.809732437133789
mps-uncap,0.3,24.445533752441406,14.299154281616211,8.24117660522461
mps-uncap,0.4,24.096250534057617,14.837503433227539,10.033607482910156
