mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,19.50526237487793,12.314558029174805,7.227420806884766
mps-uncap,0.9,26.81136131286621,18.51022243499756,11.74616813659668
mps-uncap,1.0,103.94549369812012,98.31225872039795,30.657410621643066
mps-uncap,0.5,15.07580280303955,10.612010955810547,5.8002471923828125
mps-uncap,0.6,14.944314956665039,10.046839714050293,5.496621131896973
mps-uncap,0.7,16.60299301147461,10.608673095703125,5.433797836303711
mps-uncap,0.1,21.513819694519043,12.481212615966797,7.12275505065918
mps-uncap,0.2,19.98758316040039,12.4894380569458,6.9580078125
mps-uncap,0.3,16.374588012695312,11.874914169311523,6.818056106567383
mps-uncap,0.4,15.625834465026855,11.693239212036133,6.546497344970703
