mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,35.402250289917,22.6193904876709,16.089344024658203
mps-uncap,0.9,59.14151668548584,43.03238391876222,32.63201713562011
mps-uncap,1.0,253.4013271331787,337.78662681579596,104.77840900421143
mps-uncap,0.5,13.738989830017088,9.775543212890625,6.828546524047853
mps-uncap,0.6,16.541242599487305,10.411834716796877,6.888151168823243
mps-uncap,0.7,23.206162452697765,12.82467842102051,8.34193229675293
mps-uncap,0.1,4.3839454650878915,0.07410049438476562,1.4352798461914062
mps-uncap,0.2,9.355688095092775,7.58774280548096,4.837369918823242
mps-uncap,0.3,12.40735054016114,8.538675308227539,5.7716369628906286
mps-uncap,0.4,12.464118003845215,9.486365318298343,6.443786621093753
