mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,0.011920928955078125,0.011205673217773438,0.009298324584960938
mps-uncap,0.9,0.011682510375976562,0.010251998901367188,0.0095367431640625
mps-uncap,1.0,0.012874603271484375,0.011205673217773438,0.008821487426757812
mps-uncap,0.5,0.011444091796875,0.010013580322265625,0.009775161743164062
mps-uncap,0.6,0.011920928955078125,0.009298324584960938,0.008344650268554688
mps-uncap,0.7,0.01049041748046875,0.009775161743164062,0.0095367431640625
mps-uncap,0.1,0.014066696166992188,0.018358230590820312,0.011444091796875
mps-uncap,0.2,0.017881393432617188,0.0133514404296875,0.009775161743164062
mps-uncap,0.3,0.013113021850585938,0.012636184692382812,0.010728836059570312
mps-uncap,0.4,0.012636184692382812,0.011682510375976562,0.01049041748046875
