mode,load,0_efficientnet_b5-8,1_inception_v3-8,2_mobilenet_v3_large-16
mps-uncap,0.8,365.37824589285674,550.0927955266178,2485.6668098922128
mps-uncap,0.9,403.9146958603865,615.5714473603599,2875.2389338559265
mps-uncap,1.0,445.2440769792008,692.4062337368376,3143.038491273355
mps-uncap,0.5,232.75702667932345,338.0613921264968,1567.3089792459857
mps-uncap,0.6,273.3958581830476,413.5354417881422,1832.545282759979
mps-uncap,0.7,319.5864283485844,465.9316460493895,2215.9113724591557
mps-uncap,0.1,48.128436596052055,67.13544670055181,309.6686441473713
mps-uncap,0.2,89.18839643934574,140.3264269005625,652.2239734085349
mps-uncap,0.3,136.0079859781738,196.3339214187863,979.2119540733721
mps-uncap,0.4,172.26921777638427,269.28733218504647,1239.0584317672397
