mode,load,0_densenet161-16,1_mobilenet_v3_large-4,2_resnet34-2
mps-uncap,0.8,20.264387130737305,4.930019378662109,3.39508056640625
mps-uncap,0.9,24.195432662963867,5.285739898681641,3.596782684326172
mps-uncap,1.0,24.380922317504883,5.022287368774414,3.580331802368164
mps-uncap,0.5,19.733667373657227,4.84466552734375,3.3965110778808594
mps-uncap,0.6,19.651174545288086,4.778861999511719,3.440380096435547
mps-uncap,0.7,19.868135452270508,4.763126373291016,3.394603729248047
mps-uncap,0.1,19.421815872192383,4.82630729675293,4.068613052368164
mps-uncap,0.2,19.443273544311523,4.878759384155273,3.481626510620117
mps-uncap,0.3,19.446849822998047,4.76527214050293,3.462553024291992
mps-uncap,0.4,19.49906349182129,4.860639572143555,3.450155258178711
