mode,load,0_densenet161-16,1_mobilenet_v3_large-4,2_resnet34-2
mps-uncap,0.8,543.1914808665496,745.092964782893,356.6541448673428
mps-uncap,0.9,626.0752024057831,726.2614647999507,408.2204814205753
mps-uncap,1.0,631.5475717955168,723.5193156866521,408.91269412393103
mps-uncap,0.5,335.32119763182044,506.442820650988,232.4269793401438
mps-uncap,0.6,395.5921814702219,609.168593972545,269.94681150490317
mps-uncap,0.7,466.1517611007995,692.9776867611746,316.8097323321422
mps-uncap,0.1,70.33412536773115,104.29447518349785,46.38531350054918
mps-uncap,0.2,140.07968767941736,202.52831472312204,90.48039857048776
mps-uncap,0.3,222.38265330301337,299.2708872767251,133.32562280209797
mps-uncap,0.4,266.76814014581936,402.41560819508226,183.1818673412805
