mode,load,0_bert-8,1_alexnet-32,2_vgg13-2
mps-uncap,1.0,20.863056182861328,8.36491584777832,5.853891372680664
mps-uncap,1.0,18.37611198425293,6.019353866577148,5.311012268066406
