mode,load,0_bert-8,1_alexnet-32,2_vgg13-2
mps-uncap,1.0,17.522096633911133,4.139304161071777,4.128694534301758
mps-uncap,1.0,15.18702507019043,3.963470458984375,3.9632320404052734
