mode,load,0_bert-8,1_alexnet-32,2_vgg13-2
mps-uncap,1.0,1298.2086395346803,7639.811239620771,477.6855900468081
mps-uncap,1.0,1118.3089491640055,7791.734002811561,494.86457064660163
