mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,16.251564025878906,64.76211547851562,21.741151809692383
mig,0.6,18.884897232055664,114.32719230651855,20.447254180908203
mps-uncap,0.7,16.269683837890625,70.74594497680664,19.24419403076172
mig,0.7,9.825944900512695,112.1969223022461,15.158414840698242
mps-uncap,0.8,16.840457916259766,71.4867115020752,20.22409439086914
mig,0.8,17.341136932373047,112.41531372070312,12.659072875976562
mps-uncap,0.9,16.790390014648438,73.24934005737305,20.252227783203125
mig,0.9,14.522075653076172,116.16349220275879,19.473791122436523
mps-uncap,1.0,17.26675033569336,73.13823699951172,21.227121353149414
mig,1.0,11.80410385131836,115.85807800292969,13.835668563842773
mps-uncap,1.1,17.40717887878418,73.3804702758789,20.679712295532227
mig,1.1,19.8061466217041,119.7509765625,21.883249282836914
mps-uncap,1.2,16.515254974365234,67.3072338104248,18.305540084838867
mig,1.2,13.935089111328125,120.25976181030273,21.79265022277832
mps-uncap,1.3,18.10312271118164,72.77655601501465,21.48914337158203
mig,1.3,13.599395751953125,113.70515823364258,16.064882278442383
