mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,7.443714141845714,33.167695999145515,7.966303825378422
mig,0.6,14.20867443084718,188.7728214263916,16.665220260620124
mps-uncap,0.7,11.374449729919434,58.011913299560554,10.111856460571289
mig,0.7,18.451595306396484,266.8395519256593,23.3151912689209
mps-uncap,0.8,21.827793121337905,83.71019363403327,20.12577056884767
mig,0.8,36.77604198455813,686.9479656219484,34.736108779907234
mps-uncap,0.9,59.85863208770753,106.75604343414307,41.08023643493652
mig,0.9,58.0134391784668,2265.7166719436646,79.14853096008301
mps-uncap,1.0,116.788911819458,116.6542053222657,99.3556261062622
mig,1.0,384.0938091278076,2972.0816612243652,344.26832199096674
mps-uncap,1.1,4424.448847770691,254.62231636047355,3772.7482318878174
mig,1.1,6616.17636680603,4761.78150177002,6281.641387939453
mps-uncap,1.2,10448.06456565857,239.70246315002439,13924.446773529053
mig,1.2,13529.343175888062,13871.973991394043,12980.639719963077
mps-uncap,1.3,19925.457167625427,288.877820968628,22818.62370967865
mig,1.3,17591.858911514282,17829.88724708557,17433.464527130127
