mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,4.092693328857422,47.90842533111572,4.642367362976074
mig,0.6,6.970882415771484,107.36405849456787,7.582426071166992
mps-uncap,0.7,4.315733909606934,53.95209789276123,4.709959030151367
mig,0.7,6.996631622314453,107.57303237915039,7.602214813232422
mps-uncap,0.8,4.791975021362305,59.29732322692871,5.253076553344727
mig,0.8,7.079362869262695,107.53583908081055,7.677316665649414
mps-uncap,0.9,5.180954933166504,63.70186805725098,5.792856216430664
mig,0.9,7.161617279052734,107.53285884857178,7.763385772705078
mps-uncap,1.0,5.856633186340332,67.70539283752441,6.453514099121094
mig,1.0,7.234334945678711,107.95235633850098,7.854461669921875
mps-uncap,1.1,6.855249404907227,68.49145889282227,7.127046585083008
mig,1.1,7.26008415222168,107.65385627746582,7.8830718994140625
mps-uncap,1.2,6.714582443237305,65.11139869689941,7.726311683654785
mig,1.2,7.262945175170898,107.55181312561035,7.883548736572266
mps-uncap,1.3,7.160425186157227,65.1700496673584,8.228182792663574
mig,1.3,7.238984107971191,108.07311534881592,7.855892181396484
