mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,42.212724685668945,100.72469711303711,44.10195350646973
mig,0.6,59.56435203552246,431.9181442260742,55.65452575683594
mps-uncap,0.7,87.8593921661377,192.83294677734375,57.89923667907715
mig,0.7,79.68974113464355,413.7988090515137,74.5844841003418
mps-uncap,0.8,116.65153503417969,237.86163330078125,100.19373893737793
mig,0.8,96.07362747192383,1450.4187107086182,127.0139217376709
mps-uncap,0.9,263.26680183410645,282.17077255249023,159.49296951293945
mig,0.9,179.98313903808594,2840.059757232666,182.51776695251465
mps-uncap,1.0,312.12830543518066,280.2865505218506,236.86456680297852
mig,1.0,492.54679679870605,3770.400285720825,472.23830223083496
mps-uncap,1.1,5209.992170333862,511.3508701324463,4836.877107620239
mig,1.1,7131.932020187378,5252.810001373291,7259.812831878662
mps-uncap,1.2,11391.18480682373,668.4904098510742,15375.25749206543
mig,1.2,15049.34048652649,14626.31344795227,14365.410804748535
mps-uncap,1.3,21560.710430145264,710.411548614502,25193.027019500732
mig,1.3,19625.320196151733,20447.773933410645,19496.264219284058
