mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,0.0133514404296875,0.01430511474609375,0.011205673217773438
mig,0.6,0.011920928955078125,0.014781951904296875,0.012874603271484375
mps-uncap,0.7,0.012636184692382812,0.015020370483398438,0.012636184692382812
mig,0.7,0.011682510375976562,0.015020370483398438,0.011920928955078125
mps-uncap,0.8,0.011205673217773438,0.0152587890625,0.010967254638671875
mig,0.8,0.012636184692382812,0.0152587890625,0.012159347534179688
mps-uncap,0.9,0.011920928955078125,0.014066696166992188,0.011205673217773438
mig,0.9,0.012159347534179688,0.017404556274414062,0.01239776611328125
mps-uncap,1.0,0.011920928955078125,0.01430511474609375,0.011682510375976562
mig,1.0,0.0133514404296875,0.017881393432617188,0.012636184692382812
mps-uncap,1.1,0.014066696166992188,0.0152587890625,0.013589859008789062
mig,1.1,0.013113021850585938,0.015020370483398438,0.013589859008789062
mps-uncap,1.2,0.014781951904296875,0.014066696166992188,0.015020370483398438
mig,1.2,0.014066696166992188,0.02956390380859375,0.013828277587890625
mps-uncap,1.3,0.014543533325195312,0.012159347534179688,0.021219253540039062
mig,1.3,0.01430511474609375,0.03695487976074219,0.012159347534179688
