mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,14.188480377197266,84.13467407226564,15.233039855957038
mig,0.6,21.33426666259766,296.3508367538453,24.72109794616701
mps-uncap,0.7,18.291187286376953,113.95125389099124,17.236661911010742
mig,0.7,25.619459152221683,373.2453346252442,31.202197074890137
mps-uncap,0.8,28.96103858947755,145.21784782409676,27.606534957885756
mig,0.8,43.983459472656264,795.4351902008058,42.73662567138674
mps-uncap,0.9,67.04659461975099,172.8596925735474,48.56286048889162
mig,0.9,65.4188632965088,2372.8318214416504,86.96403503417972
mps-uncap,1.0,123.00503253936768,185.36243438720703,106.6928863525391
mig,1.0,391.3918972015381,3079.573392868042,352.22940444946283
mps-uncap,1.1,4431.109261512756,322.843050956726,3779.730796813965
mig,1.1,6623.441362380981,4869.639492034913,6289.6761417388925
mps-uncap,1.2,10454.984641075134,304.5689105987548,13932.79368877411
mig,1.2,13536.67516708374,13979.683518409729,12988.589763641361
mps-uncap,1.3,19930.32767772675,353.797483444214,22827.215027809147
mig,1.3,17599.162697792053,17941.960430145264,17441.250443458557
