mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,22.282042503356934,76.370322704315,22.65963315963745
mig,0.6,29.760644435882572,327.5794482231134,36.2588787078858
mps-uncap,0.7,33.87068271636963,120.03387212753294,26.647672653198235
mig,0.7,38.640365600585824,401.4214611053466,47.19517230987546
mps-uncap,0.8,56.44848823547338,178.52957725524925,66.10270738601689
mig,0.8,70.60882568359375,1193.3042812347396,72.73975372314435
mps-uncap,0.9,223.86971473693868,195.90213060379028,108.78105163574196
mig,0.9,100.32814979553221,2728.8893342018137,120.54732322692873
mps-uncap,1.0,263.81709098815946,195.37600755691525,180.28411626815804
mig,1.0,438.25537681579584,3617.6619529724117,426.42350196838385
mps-uncap,1.1,5167.476754188538,469.0840005874632,4741.259479522705
mig,1.1,7067.95973777771,5126.403980255128,7170.573673248291
mps-uncap,1.2,11241.66548013687,473.7550830841063,15170.580174922941
mig,1.2,14901.485900878904,14476.178002357483,14153.127195835114
mps-uncap,1.3,21286.3880777359,610.3320217132557,24884.074184894558
mig,1.3,19372.697176933285,20358.56437921524,19342.503905296322
