mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,28.9049768447876,126.0510492324827,29.740266799926754
mig,0.6,36.785614490509055,434.8636817932122,44.08731460571289
mps-uncap,0.7,41.156039237976074,181.27677440643308,33.770685195922844
mig,0.7,45.861606597900334,507.5536441802978,55.643808841705294
mps-uncap,0.8,64.13474082946773,242.45318412780773,73.75659942626956
mig,0.8,77.85017967224123,1300.3091812133773,81.07865333557127
mps-uncap,0.9,231.20021581649786,261.6411352157593,117.50932693481444
mig,0.9,107.68900871276853,2839.053821563721,128.45911026000977
mps-uncap,1.0,269.8146176338197,264.050235748291,188.30160379409796
mig,1.0,445.8327960968016,3726.5208482742305,434.3400192260742
mps-uncap,1.1,5176.777677536011,537.8039169311521,4750.024032592773
mig,1.1,7075.222005844116,5233.978984355927,7178.620080947876
mps-uncap,1.2,11251.101174354553,537.552099227905,15179.07682418823
mig,1.2,14908.743953704834,14584.05565023422,14161.07803106308
mps-uncap,1.3,21291.592299938202,676.10776901245,24892.589795589443
mig,1.3,19379.883468151093,20468.166155815125,19350.28516054153
