mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,324.36301140962956,185.37650899610148,1152.7892043589723
mig,0.6,324.97721130846594,163.51899538249364,1197.426175891327
mps-uncap,0.7,379.97532403436645,194.51092418027943,1369.7812371364878
mig,0.7,376.4804946166033,205.7144603401361,1387.4513408807097
mps-uncap,0.8,434.9658289267736,240.35828678858493,1573.5462081396724
mig,0.8,433.8017454895642,240.06267610754875,1577.8148579779813
mps-uncap,0.9,486.0851375639361,268.0808830528861,1807.731919564719
mig,0.9,486.21197165082225,269.5893211167561,1799.2762640777587
mps-uncap,1.0,543.8891313535034,290.0945784188372,1987.557638904663
mig,1.0,540.6740086382655,286.6192453440879,1959.8783295894823
mps-uncap,1.1,564.3859584649136,340.1148523088039,2107.5474315416714
mig,1.1,547.9988577273275,291.1239636563927,2000.4748467871107
mps-uncap,1.2,575.5396248355066,350.8605045147055,1996.230072500436
mig,1.2,548.5534887246333,295.62563899893263,2009.8008978609143
mps-uncap,1.3,539.8104893023011,396.26151892343813,1875.5721207054605
mig,1.3,547.5808840617782,293.6401022950154,2001.2529298022944
