mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,4.979372024536133,51.86605453491211,5.638718605041504
mig,0.6,9.390592575073242,116.36066436767578,10.907649993896484
mps-uncap,0.7,5.563497543334961,58.01951885223389,6.10804557800293
mig,0.7,11.270761489868164,184.3698024749756,13.8322114944458
mps-uncap,0.8,7.716178894042969,64.99743461608887,7.955431938171387
mig,0.8,15.023112297058105,262.4354362487793,16.674041748046875
mps-uncap,0.9,13.211846351623535,71.42877578735352,11.83009147644043
mig,0.9,24.578332901000977,549.1893291473389,31.418323516845703
mps-uncap,1.0,33.53416919708252,80.65259456634521,27.26900577545166
mig,1.0,225.49033164978027,1018.1441307067871,173.89678955078125
mps-uncap,1.1,1665.5385494232178,125.33020973205566,1645.1747417449951
mig,1.1,3304.647922515869,3403.7911891937256,3349.7819900512695
mps-uncap,1.2,6044.167280197144,121.10304832458496,8365.59808254242
mig,1.2,7229.4933795928955,6760.154843330383,6359.4605922698975
mps-uncap,1.3,9472.52070903778,150.30169486999512,11357.57291316986
mig,1.3,9426.944494247437,9650.47037601471,9522.356986999512
