mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,0.033855438232421875,0.04410743713378906,0.03266334533691406
mig,0.6,2.311229705810547,8.357048034667969,2.9397010803222656
mps-uncap,0.7,0.033855438232421875,0.04649162292480469,0.03266334533691406
mig,0.7,4.185676574707031,75.71172714233398,5.896806716918945
mps-uncap,0.8,2.281665802001953,0.04863739013671875,1.8589496612548828
mig,0.8,7.8400373458862305,155.37142753601074,8.583307266235352
mps-uncap,0.9,6.902337074279785,9.833931922912598,5.124568939208984
mig,0.9,17.32468605041504,441.6649341583252,23.453474044799805
mps-uncap,1.0,26.65424346923828,14.13118839263916,20.228862762451172
mig,1.0,218.23906898498535,910.3753566741943,165.9069061279297
mps-uncap,1.1,1658.8085889816284,56.72335624694824,1637.2928619384766
mig,1.1,3297.272205352783,3295.520782470703,3341.8710231781006
mps-uncap,1.2,6038.379430770874,55.773019790649414,8358.205914497375
mig,1.2,7222.245454788208,6651.464462280273,6351.548075675964
mps-uncap,1.3,9465.299129486084,85.70718765258789,11350.873231887817
mig,1.3,9419.687986373901,9542.68741607666,9514.43088054657
