mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,49.74532127380371,145.95556259155273,49.35407638549805
mig,0.6,66.47372245788574,540.3120517730713,63.07721138000488
mps-uncap,0.7,95.6268310546875,254.3487548828125,65.57440757751465
mig,0.7,87.2807502746582,522.7553844451904,83.17327499389648
mps-uncap,0.8,131.35218620300293,306.11443519592285,108.26230049133301
mig,0.8,103.32942008972168,1559.0453147888184,134.82189178466797
mps-uncap,0.9,271.4393138885498,351.0780334472656,166.86320304870605
mig,0.9,187.4086856842041,2950.4575729370117,191.6368007659912
mps-uncap,1.0,320.6512928009033,342.7891731262207,245.20230293273926
mig,1.0,499.7379779815674,3878.117084503174,480.14092445373535
mps-uncap,1.1,5221.023321151733,582.0081233978271,4843.390226364136
mig,1.1,7139.232873916626,5361.065864562988,7267.691135406494
mps-uncap,1.2,11401.104211807251,734.9464893341064,15383.132219314575
mig,1.2,15056.599617004395,14733.858823776245,14373.30675125122
mps-uncap,1.3,21570.321559906006,774.9936580657959,25200.225830078125
mig,1.3,19632.545232772827,20557.575464248657,19504.24838066101
