mode,load,0_vgg16-4,1_densenet161-32,2_resnet18-16
mps-uncap,0.6,13.523545265197754,62.7744698524475,15.057880878448486
mig,0.6,8.23410987854004,110.67782163619995,10.46719551086426
mps-uncap,0.7,13.580088615417495,68.00578832626341,14.965877532958983
mig,0.7,8.382635116577147,111.2009048461914,10.595083236694334
mps-uncap,0.8,14.515790939331053,69.27271842956543,15.575630664825441
mig,0.8,8.414826393127441,111.44241333007812,10.736312866210936
mps-uncap,0.9,14.874563217163086,70.614755153656,15.75221061706543
mig,0.9,8.424034118652344,111.75501346588135,10.718321800231934
mps-uncap,1.0,15.27209997177124,71.30831480026245,16.159167289733887
mig,1.0,8.42755317687988,111.97609901428223,10.69396495819092
mps-uncap,1.1,15.688216686248781,72.31461048126219,16.383028030395515
mig,1.1,8.12779426574707,111.7489266395569,10.265750885009766
mps-uncap,1.2,15.148839950561523,66.78954124450684,16.750948429107666
mig,1.2,7.849464416503891,111.83509826660156,9.200391769409181
mps-uncap,1.3,15.268838405609133,67.07719802856445,16.84896469116211
mig,1.3,8.382558822631836,112.39692449569702,10.421609878540037
