mode,load,0_resnet18-32,1_resnet34-4,2_squeezenet1_1-32
mps-uncap,0.8,9.595870971679688,9.43136215209961,9.611153602600098
mps-uncap,0.9,9.127378463745117,9.11569595336914,9.10329818725586
mps-uncap,1.0,9.067773818969727,9.0484619140625,9.037113189697266
mps-uncap,0.5,9.028911590576172,8.236885070800781,8.742094039916992
mps-uncap,0.6,9.114742279052734,8.642077445983887,8.757829666137695
mps-uncap,0.7,9.319448471069336,9.000062942504883,9.03322696685791
mps-uncap,0.1,9.055018424987793,8.260154724121094,7.970952987670898
mps-uncap,0.2,8.877110481262209,8.169412612915039,8.243227005004883
mps-uncap,0.3,8.80422592163086,8.422374725341797,8.41379165649414
mps-uncap,0.4,8.903312683105469,8.311104774475098,8.496522903442383
