mode,load,0_efficientnet_b7-4,1_efficientnet_b7-4,2_vgg11-2
mps-uncap,0.8,26.619672775268555,30.50386905670166,2.887725830078125
mps-uncap,0.9,30.64265251159668,27.36518383026123,2.9168128967285156
mps-uncap,1.0,27.39429473876953,30.614185333251953,2.9184818267822266
mps-uncap,0.5,26.33521556854248,24.839496612548828,2.6650190353393555
mps-uncap,0.6,27.241086959838867,25.07791519165039,2.6807785034179688
mps-uncap,0.7,28.806686401367188,25.932979583740234,2.7637481689453125
mps-uncap,0.1,37.59870529174805,37.17384338378906,2.3798465728759766
mps-uncap,0.2,24.858808517456055,25.18463134765625,2.2661685943603516
mps-uncap,0.3,24.82841014862061,24.599027633666992,2.3992538452148438
mps-uncap,0.4,25.157666206359863,24.49960708618164,2.4713516235351567
