mode,load,0_efficientnet_b7-4,1_efficientnet_b7-4,2_vgg11-2
mps-uncap,0.8,310.8813762664795,510.20097732543945,51.429033279418945
mps-uncap,0.9,1072.6566314697266,710.6852531433105,220.9298610687256
mps-uncap,1.0,760.7283592224121,7738.107204437256,4951.894283294678
mps-uncap,0.5,78.08160781860352,89.47229385375977,17.45009422302246
mps-uncap,0.6,148.6530303955078,131.14023208618164,20.5538272857666
mps-uncap,0.7,206.98189735412598,203.85289192199707,36.90791130065918
mps-uncap,0.1,35.11929512023926,29.383420944213867,5.525112152099609
mps-uncap,0.2,50.269365310668945,37.97769546508789,8.198022842407227
mps-uncap,0.3,42.088985443115234,68.54844093322754,12.330293655395508
mps-uncap,0.4,51.80478096008301,75.96492767333984,10.279417037963867
