mode,load,0_densenet161-4,1_mobilenet_v3_small-32,2_resnet152-16
mps-uncap,0.8,9.367704391479492,2.7289390563964844,13.933181762695312
mps-uncap,0.9,9.501218795776367,2.7370452880859375,14.038801193237305
mps-uncap,1.0,9.61160659790039,2.730846405029297,15.387535095214844
mps-uncap,0.5,9.37795639038086,2.712726593017578,13.942241668701172
mps-uncap,0.6,9.531021118164062,2.741575241088867,13.916730880737305
mps-uncap,0.7,9.326696395874023,2.7179718017578125,13.971567153930664
mps-uncap,0.1,9.496212005615234,2.741098403930664,13.938665390014648
mps-uncap,0.2,9.447813034057617,2.7437210083007812,13.94200325012207
mps-uncap,0.3,9.4451904296875,2.7208328247070312,13.933658599853516
mps-uncap,0.4,9.508848190307617,2.7379989624023438,13.972282409667969
