mode,load,0_efficientnet_b6-16,1_mobilenet_v3_large-8,2_squeezenet1_0-16
mps-uncap,1.0,0.003814697265625,0.0040531158447265625,0.000476837158203125
mig,1.0,0.012636184692382812,0.000476837158203125,0.000476837158203125
