mode,load,0_efficientnet_b7-4,1_mobilenet_v3_large-16,2_vgg16-16
mps-uncap,0.8,49.02911186218262,14.394998550415039,12.034177780151367
mps-uncap,0.9,70.46496868133545,16.631603240966797,12.743473052978516
mps-uncap,1.0,72.59178161621094,17.118215560913086,12.91513442993164
mps-uncap,0.5,27.570486068725586,9.325146675109863,11.276602745056152
mps-uncap,0.6,30.486583709716797,10.563850402832031,11.48843765258789
mps-uncap,0.7,39.026498794555664,13.302087783813477,11.810302734375
mps-uncap,0.1,38.85793685913086,11.853933334350586,11.599063873291016
mps-uncap,0.2,25.70664882659912,11.574506759643555,11.206626892089844
mps-uncap,0.3,24.224519729614258,11.07478141784668,11.22283935546875
mps-uncap,0.4,25.94780921936035,9.722471237182617,11.247992515563965
