mode,load,0_densenet121-32,1_efficientnet_b6-32,2_vgg11-32
mps-uncap,0.8,261.52935329867336,179.91430921805448,1667.1738783768708
mps-uncap,0.9,276.26952638304357,198.03267935968063,1902.2815479747917
mps-uncap,1.0,296.31702098437074,219.0855560255914,1909.5833144135038
mps-uncap,0.5,165.06462480880467,99.42563704120221,1066.78015339202
mps-uncap,0.6,187.27153830209542,120.7264473539666,1300.359378184919
mps-uncap,0.7,204.17351548523658,162.62982499490593,1455.1617376156091
mps-uncap,0.1,26.376261310002892,23.549044216751472,210.87954638961588
mps-uncap,0.2,63.76039008785569,50.37382348371174,423.0602676731423
mps-uncap,0.3,91.38507833260894,67.87511326964027,643.6846430824203
mps-uncap,0.4,135.92408287492037,89.86008116020689,838.2085949403895
