mode,load,0_squeezenet1_0-2,1_squeezenet1_1-2,2_vgg16-2
mps-uncap,0.8,6.371545791625976,4.58376407623291,9.26518440246582
mps-uncap,0.9,8.64667892456055,7.788348197937013,13.639259338378906
mps-uncap,1.0,129.7506332397461,12.490510940551758,68.29547882080078
mps-uncap,0.5,5.303621292114258,5.378055572509769,4.780936241149902
mps-uncap,0.6,4.859113693237306,4.827356338500977,5.765795707702637
mps-uncap,0.7,5.242109298706056,4.677772521972656,6.989741325378418
mps-uncap,0.1,3.0384302139282227,2.9447078704833984,2.4454593658447266
mps-uncap,0.2,4.156017303466797,4.288005828857422,3.1290054321289062
mps-uncap,0.3,4.848241806030275,4.770708084106445,3.752875328063965
mps-uncap,0.4,5.316948890686035,5.626773834228516,4.263639450073242
