mode,load,0_squeezenet1_0-2,1_squeezenet1_1-2,2_vgg16-2
mps-uncap,0.8,0.9496212005615234,0.9195804595947266,1.9078254699707031
mps-uncap,0.9,0.9567737579345703,0.9169578552246094,1.9154548645019531
mps-uncap,1.0,0.9608268737792969,0.9429454803466797,1.9202232360839844
mps-uncap,0.5,0.9524822235107422,0.91552734375,1.922607421875
mps-uncap,0.6,0.9810924530029297,0.9412765502929688,1.9218921661376953
mps-uncap,0.7,0.9517669677734375,0.9143352508544922,1.9130706787109375
mps-uncap,0.1,0.9691715240478516,0.9534358978271484,1.9288063049316406
mps-uncap,0.2,0.9846687316894531,0.9632110595703125,1.9228458404541016
mps-uncap,0.3,0.9911060333251953,0.9286403656005859,1.9180774688720703
mps-uncap,0.4,0.9605884552001953,0.9343624114990234,1.9268989562988281
