mode,load,0_squeezenet1_0-2,1_squeezenet1_1-2,2_vgg16-2
mps-uncap,0.8,811.4372546270898,806.974461682355,590.9236874120716
mps-uncap,0.9,904.1212786523926,911.1799944997034,645.9093242768894
mps-uncap,1.0,1003.357479272467,1009.167690048396,733.8270696012528
mps-uncap,0.5,508.3094681459258,504.0997848960542,364.8465407468983
mps-uncap,0.6,605.3649421664934,620.6701104088502,430.5937400857576
mps-uncap,0.7,697.8228994225034,697.3446508266161,508.5447321272749
mps-uncap,0.1,102.28717225096922,100.57345560874121,73.74444863983211
mps-uncap,0.2,200.1123568617796,200.29667485573464,144.86093674788904
mps-uncap,0.3,303.7486108182903,304.15851122687513,224.88833506847214
mps-uncap,0.4,410.53783231079103,412.34800063834433,296.5288474019893
