mode,load,0_squeezenet1_1-2,1_squeezenet1_1-2
mig,0.1,3.8602352142333984,3.899812698364258
mig,0.2,2.2144317626953125,2.182483673095703
mig,0.3,1.741170883178711,1.7390251159667969
mig,0.4,1.7130374908447266,1.7921924591064453
mig,0.5,1.7223358154296875,1.7592906951904297
mig,0.6,1.7402172088623047,1.7371177673339844
mig,0.7,1.7504692077636719,1.7633438110351562
mig,0.8,1.7547607421875,1.7435550689697266
mig,0.9,1.7576217651367188,1.7757415771484375
mig,1.0,1.7521381378173828,1.7406940460205078
