mode,load,0_squeezenet1_1-2,1_squeezenet1_1-2
mig,0.1,1.7268657684326172,1.7292499542236328
mig,0.2,1.6357898712158203,1.6644001007080078
mig,0.3,1.6582012176513672,1.6629695892333984
mig,0.4,1.6367435455322266,1.7151832580566406
mig,0.5,1.641988754272461,1.6856193542480469
mig,0.6,1.6589164733886719,1.657247543334961
mig,0.7,1.6667842864990234,1.6732215881347656
mig,0.8,1.6624927520751953,1.657724380493164
mig,0.9,1.6696453094482422,1.6758441925048828
mig,1.0,1.6481876373291016,1.6393661499023438
