mode,load,0_squeezenet1_1-2,1_squeezenet1_1-2
mig,0.1,15.215396881103516,15.845537185668945
mig,0.2,17.298460006713867,14.978647232055664
mig,0.3,13.865232467651367,14.948844909667969
mig,0.4,20.80559730529785,23.421287536621094
mig,0.5,30.18498420715332,62.416791915893555
mig,0.6,3881.6869258880615,3638.441801071167
mig,0.7,11079.396486282349,13288.402795791626
mig,0.8,17877.322673797607,18098.27709197998
mig,0.9,22013.237953186035,23534.45076942444
mig,1.0,25275.265216827393,25941.346883773804
