mode,load,0_squeezenet1_1-2,1_squeezenet1_1-2
mig,0.1,1.7380714416503906,1.7616748809814453
mig,0.2,1.6732215881347656,1.6865730285644531
mig,0.3,1.6858577728271484,1.6868114471435547
mig,0.4,1.6622543334960938,1.7499923706054688
mig,0.5,1.6887187957763672,1.728057861328125
mig,0.6,1.7228126525878906,1.7230510711669922
mig,0.7,1.744985580444336,1.7497539520263672
mig,0.8,1.7285346984863281,1.7209053039550781
mig,0.9,1.7404556274414062,1.7545223236083984
mig,1.0,1.7139911651611328,1.7087459564208984
