mode,load,0_squeezenet1_1-2,1_squeezenet1_1-2
mig,0.1,12.528154850006105,13.29132080078125
mig,0.2,10.669832229614258,10.073242187499984
mig,0.3,7.913064956665042,8.458201885223389
mig,0.4,12.182397842407232,14.590702056884766
mig,0.5,22.416400909423846,54.04152870178216
mig,0.6,3825.074768066406,3619.4841861724854
mig,0.7,11001.465904712675,13147.121481895447
mig,0.8,17700.104122161865,17935.139617919922
mig,0.9,21791.261491775513,23296.029319763187
mig,1.0,25033.557329177856,25671.624398231503
