mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,7.286958694458001,127.97863960266123,86.61884069442753
mps-uncap,0.9,10.44504404067993,138.5418605804443,180.70518493652335
mps-uncap,1.0,51.36243581771857,849.2475986480716,1126.266670227051
mps-uncap,0.5,2.737760543823242,34.128332138061495,31.355972290039052
mps-uncap,0.6,3.7579250335693355,49.68787193298338,33.78786087036133
mps-uncap,0.7,5.073585510253905,75.66336631774921,60.56505680084229
mps-uncap,0.1,1.017239093780517,15.83609580993655,12.343368530273427
mps-uncap,0.2,1.2873935699462906,14.453649520874011,17.421574592590307
mps-uncap,0.3,1.78084373474121,21.07987403869629,22.276248931884705
mps-uncap,0.4,2.1419143676757857,29.630022048950195,26.465845108032223
