mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,1.5141963958740234,31.006336212158203,21.631598472595215
mps-uncap,0.9,1.9423961639404297,41.95737838745117,40.11213779449463
mps-uncap,1.0,8.805632591247559,293.89214515686035,507.02667236328125
mps-uncap,0.5,1.1768341064453125,18.427610397338867,16.657352447509766
mps-uncap,0.6,1.2404918670654297,20.529866218566895,17.211198806762695
mps-uncap,0.7,1.3475418090820312,22.038936614990234,19.287109375
mps-uncap,0.1,1.1649131774902344,18.8446044921875,18.47100257873535
mps-uncap,0.2,1.2052059173583984,18.04065704345703,17.516374588012695
mps-uncap,0.3,1.2116432189941406,18.14436912536621,17.52305030822754
mps-uncap,0.4,1.1601448059082031,17.576932907104492,17.087221145629883
