mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,0.0073909759521484375,0.011682510375976562,0.010967254638671875
mps-uncap,0.9,0.0073909759521484375,0.01239776611328125,0.012159347534179688
mps-uncap,1.0,0.007152557373046875,0.0133514404296875,0.013113021850585938
mps-uncap,0.5,0.00858306884765625,0.011682510375976562,0.011682510375976562
mps-uncap,0.6,0.0073909759521484375,0.012159347534179688,0.011205673217773438
mps-uncap,0.7,0.0069141387939453125,0.011920928955078125,0.011205673217773438
mps-uncap,0.1,0.009059906005859375,0.022649765014648438,0.017881393432617188
mps-uncap,0.2,0.009298324584960938,0.0133514404296875,0.017642974853515625
mps-uncap,0.3,0.00762939453125,0.015497207641601562,0.014781951904296875
mps-uncap,0.4,0.00762939453125,0.011920928955078125,0.01239776611328125
