mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,0.5633831024169922,14.294624328613281,9.051799774169922
mps-uncap,0.9,0.5631446838378906,14.230012893676758,9.175777435302734
mps-uncap,1.0,0.5693435668945312,17.01068878173828,10.585308074951172
mps-uncap,0.5,0.5655288696289062,13.963699340820312,8.88371467590332
mps-uncap,0.6,0.5640983581542969,14.178037643432617,8.825302124023438
mps-uncap,0.7,0.5650520324707031,14.226675033569336,8.769512176513672
mps-uncap,0.1,0.5660057067871094,13.938426971435547,8.829832077026367
mps-uncap,0.2,0.5645751953125,13.869762420654297,8.756875991821289
mps-uncap,0.3,0.5669593811035156,13.945341110229492,8.742094039916992
mps-uncap,0.4,0.5643367767333984,13.956308364868164,8.774518966674805
