mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,2.2607135772705074,24.83560562133789,22.526907920837406
mps-uncap,0.9,2.221379280090332,24.991750717163086,23.842971324920654
mps-uncap,1.0,2.5022029876708984,24.55375194549561,24.303388595581055
mps-uncap,0.5,2.053976058959961,21.80267333984375,21.01429939270019
mps-uncap,0.6,2.0403575897216792,22.779827117919922,21.718654632568352
mps-uncap,0.7,2.194643020629883,23.782291412353516,21.75355911254883
mps-uncap,0.1,1.5021085739135724,21.00653648376465,20.369019508361813
mps-uncap,0.2,1.7523384094238295,20.699596405029293,20.018868446350098
mps-uncap,0.3,1.9098758697509761,20.65386772155761,20.79268932342529
mps-uncap,0.4,1.9715976715087915,20.95353126525879,20.818395614624023
