mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,1.0902881622314453,20.746946334838867,17.727255821228027
mps-uncap,0.9,1.1718273162841797,22.600650787353516,21.090149879455566
mps-uncap,1.0,1.3298988342285156,23.774147033691406,23.354530334472656
mps-uncap,0.5,1.0368824005126953,16.289353370666504,13.368606567382812
mps-uncap,0.6,1.0323524475097656,17.568111419677734,13.183116912841797
mps-uncap,0.7,1.0302066802978516,18.77760887145996,14.790058135986328
mps-uncap,0.1,1.1069774627685547,18.712520599365234,18.33796501159668
mps-uncap,0.2,1.1200904846191406,17.847657203674316,17.337560653686523
mps-uncap,0.3,1.0919570922851562,17.479658126831055,16.7388916015625
mps-uncap,0.4,1.0464191436767578,15.514135360717773,14.305353164672852
