mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,1044.5716414625927,498.3544426093981,291.07609093172954
mps-uncap,0.9,1159.344161743418,548.9938249530389,318.88601943531665
mps-uncap,1.0,1324.8040510432916,641.8072653195759,351.38917908648176
mps-uncap,0.5,664.0426803528985,317.50061718358285,175.7974758652314
mps-uncap,0.6,788.726372505623,378.9290906486379,215.56053598751566
mps-uncap,0.7,906.1406539880188,442.7130883453012,241.03335604634023
mps-uncap,0.1,135.1558119851608,60.54409762914322,33.97870705688296
mps-uncap,0.2,261.97395357898716,123.89019379516085,70.97970408533077
mps-uncap,0.3,390.76103455085496,188.572547634127,110.77327760830904
mps-uncap,0.4,527.5774273906578,266.7547435978711,138.3278881577889
