mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,1.5654563903808594,23.670482635498047,21.45068645477295
mps-uncap,0.9,1.569986343383789,24.338817596435547,23.180007934570312
mps-uncap,1.0,1.7621517181396484,24.203777313232422,23.907184600830078
mps-uncap,0.5,1.3797283172607422,20.35679817199707,19.533777236938477
mps-uncap,0.6,1.3933658599853518,21.363139152526855,20.450925827026367
mps-uncap,0.7,1.4921665191650395,22.23219871520996,20.59352397918701
mps-uncap,0.1,1.2412309646606445,20.350217819213867,20.03173828125
mps-uncap,0.2,1.2767791748046875,19.12522315979004,18.77603530883789
mps-uncap,0.3,1.317739486694336,19.593238830566406,19.03090476989746
mps-uncap,0.4,1.3242483139038088,19.49758529663086,19.24896240234375
