mode,load,0_alexnet-2,1_resnet152-16,2_resnet152-8
mps-uncap,0.8,15.234947204589844,167.36626625061035,115.9205436706543
mps-uncap,0.9,17.843246459960938,190.58489799499512,219.590425491333
mps-uncap,1.0,64.60070610046387,946.2037086486816,1244.7891235351562
mps-uncap,0.5,6.421089172363281,52.8721809387207,55.71103096008301
mps-uncap,0.6,7.657289505004883,94.5746898651123,56.46991729736328
mps-uncap,0.7,11.200666427612305,116.9438362121582,94.15912628173828
mps-uncap,0.1,1.7859935760498047,17.639875411987305,20.490407943725586
mps-uncap,0.2,3.496885299682617,19.56653594970703,31.13389015197754
mps-uncap,0.3,4.547834396362305,34.29889678955078,37.33658790588379
mps-uncap,0.4,6.0100555419921875,39.94631767272949,37.04071044921875
