mode,load,0_resnet152-16,1_squeezenet1_1-32,2_squeezenet1_1-8
mps-uncap,0.8,36.57984733581543,13.424873352050781,10.331869125366211
mps-uncap,0.9,42.73080825805664,18.718957901000977,16.49785041809082
mps-uncap,1.0,38.47861289978027,18.296480178833008,17.05455780029297
mps-uncap,0.5,32.89079666137695,14.785051345825195,13.77248764038086
mps-uncap,0.6,36.804914474487305,13.237476348876953,11.916160583496094
mps-uncap,0.7,39.343833923339844,13.208150863647461,16.814231872558594
mps-uncap,0.1,36.39984130859375,15.141010284423828,9.047269821166992
mps-uncap,0.2,33.786773681640625,12.863397598266602,9.921550750732422
mps-uncap,0.3,32.81450271606445,13.849020004272461,9.264230728149414
mps-uncap,0.4,32.289981842041016,27.224302291870117,16.444921493530273
