mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-2,2_resnet50-8
mps-uncap,0.8,36.3824462890625,13.722848892211914,17.24085807800293
mps-uncap,0.9,35.480947494506836,15.004210472106932,18.463282585144047
mps-uncap,1.0,36.5261435508728,13.460140228271484,17.87465810775757
mps-uncap,0.5,35.158960819244385,12.224647998809814,17.226648330688477
mps-uncap,0.6,35.55522441864014,12.511253356933588,17.257680892944332
mps-uncap,0.7,35.780324935913086,12.794733047485352,17.116613388061523
mps-uncap,0.1,31.120972633361824,10.867776870727536,16.073670387268052
mps-uncap,0.2,33.44640731811524,11.021845340728754,16.644115447998047
mps-uncap,0.3,34.28619623184204,11.739363670349123,16.711044311523434
mps-uncap,0.4,34.733572006225586,12.136268615722656,17.020235061645508
