mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-2,2_resnet50-8
mps-uncap,0.8,664.0264879140491,207.56315977358503,498.73978775009925
mps-uncap,0.9,784.1762282490522,236.04304930961544,566.9887921712973
mps-uncap,1.0,889.5462292530332,267.76123897426896,641.8951351053238
mps-uncap,0.5,449.32489731346453,131.27895786171433,314.51653251820295
mps-uncap,0.6,531.8935131129798,158.08691510224864,381.43501334303136
mps-uncap,0.7,599.2270807027187,186.46753250607267,434.486475267405
mps-uncap,0.1,91.4147314545816,27.21403271747034,64.28111942588325
mps-uncap,0.2,182.59676150648335,52.632490098181805,121.08009094509008
mps-uncap,0.3,264.62103861243946,78.52797083473563,186.725372079569
mps-uncap,0.4,347.5718454411821,101.82282717648543,241.2494037379759
