mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,204.32305335998535,120.35584449768066,101.05729103088379
mig,0.6,162.2641086578369,164.56127166748047,87.11981773376465
mps-uncap,0.7,210.3743553161621,185.0271224975586,95.35384178161621
mig,0.7,218.04332733154297,191.94817543029785,117.27118492126465
mps-uncap,0.8,308.25233459472656,311.739444732666,198.32801818847656
mig,0.8,304.4741153717041,255.65576553344727,177.29783058166504
mps-uncap,0.9,813.9655590057373,320.7583427429199,214.6923542022705
mig,0.9,682.6305389404297,404.41393852233887,245.08357048034668
mps-uncap,1.0,2925.926446914673,3564.725399017334,998.5241889953613
mig,1.0,1865.875482559204,935.5168342590332,474.7467041015625
mps-uncap,1.1,9414.145469665527,9009.458541870117,7365.054607391357
mig,1.1,6992.380619049072,6802.2167682647705,7270.431280136108
mps-uncap,1.2,15663.449764251709,16334.218740463257,15468.475103378296
mig,1.2,15345.840215682983,17638.61608505249,16417.89412498474
mps-uncap,1.3,18594.02823448181,23247.00880050659,21799.724578857422
mig,1.3,19259.23252105713,20676.950216293335,21365.86904525757
