mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,47.41189479827882,29.40669059753421,18.46981048583984
mig,0.6,42.8349494934082,29.766845703125,21.957206726074226
mps-uncap,0.7,72.8060245513916,51.25217437744141,30.319833755493168
mig,0.7,60.935401916503956,46.64134979248047,29.217958450317415
mps-uncap,0.8,99.88861083984376,70.12295722961423,55.78017234802246
mig,0.8,91.26076698303223,74.0527629852295,59.14518833160401
mps-uncap,0.9,355.51309585571295,145.26715278625494,79.25801277160643
mig,0.9,296.3486194610596,168.13979148864752,101.40676498413085
mps-uncap,1.0,2596.6482162475586,3121.2158203125,736.0874891281129
mig,1.0,1613.5876178741455,728.5974740982057,288.7764930725098
mps-uncap,1.1,8507.91871547699,8189.7571086883545,6596.7618227005005
mig,1.1,6723.436069488525,5627.477121353149,6384.537434577943
mps-uncap,1.2,13953.907489776611,14934.783029556274,13671.304798126224
mig,1.2,13976.198077201841,15454.310607910158,15024.642205238342
mps-uncap,1.3,16963.066697120667,20906.06842041016,19817.50750541687
mig,1.3,17198.84295463562,18486.543464660645,19609.077429771423
