mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,69.45023536682129,44.654440879821784,27.718973159790036
mig,0.6,64.88351821899413,45.17788887023925,31.329631805419922
mps-uncap,0.7,94.74453926086427,66.73908233642578,39.768123626708984
mig,0.7,82.75661468505862,62.13212013244629,38.611698150634766
mps-uncap,0.8,121.97098731994629,85.22598743438718,65.3371810913086
mig,0.8,113.10572624206544,89.74466323852539,68.53001117706299
mps-uncap,0.9,377.83250808715826,160.6036901474,88.70117664337157
mig,0.9,317.83657073974615,183.45949649810802,110.71093082427977
mps-uncap,1.0,2618.8558101654053,3137.0553970336914,745.5490827560427
mig,1.0,1635.3830099105835,743.7785387039185,298.12662601470953
mps-uncap,1.1,8530.206894874573,8205.247163772583,6605.992221832275
mig,1.1,6745.186471939087,5642.875051498413,6393.962454795838
mps-uncap,1.2,13975.908780097961,14950.35285949707,13680.884742736818
mig,1.2,13997.970342636107,15469.586849212648,15034.13302898407
mps-uncap,1.3,16985.162138938904,20922.00646400452,19826.834678649902
mig,1.3,17220.570945739746,18501.800394058224,19618.656015396118
