mode,load,0_efficientnet_b7-4,1_efficientnet_b5-2,2_resnet101-2
mps-uncap,0.6,21.20661735534668,14.844417572021484,8.862972259521484
mig,0.6,21.477937698364258,15.032291412353516,9.158849716186523
mps-uncap,0.7,21.55470848083496,15.182971954345703,9.135246276855469
mig,0.7,21.15035057067871,15.218973159790039,9.151697158813477
mps-uncap,0.8,21.425247192382812,14.924764633178711,9.161949157714844
mig,0.8,21.525859832763672,15.097856521606445,9.213685989379883
mps-uncap,0.9,21.64912223815918,15.00844955444336,9.167909622192383
mig,0.9,21.124601364135742,14.970541000366211,9.190797805786133
mps-uncap,1.0,21.432876586914062,15.481233596801758,9.086370468139648
mig,1.0,21.2860107421875,14.945745468139648,9.125947952270508
mps-uncap,1.1,21.30293846130371,15.101194381713867,8.940696716308594
mig,1.1,21.40974998474121,15.055179595947266,9.21320915222168
mps-uncap,1.2,21.579504013061523,15.203475952148438,9.156465530395508
mig,1.2,21.42500877380371,15.07568359375,9.297609329223633
mps-uncap,1.3,21.61264419555664,15.51055908203125,9.145736694335938
mig,1.3,21.260976791381836,14.885663986206055,9.214639663696289
